linkID,venue1,venue2
946,collection1216,collection2135
947,collection0581,collection2047
948,collection0095,collection1989
949,collection0011,collection0234
950,collection0466,collection0877
951,collection0011,collection0113
952,collection0371,collection1595
953,collection0041,collection0605
954,collection0041,collection0485
955,collection0043,collection0485
956,collection0595,collection1630
957,collection0896,collection1121
958,collection0113,collection0206
959,collection0351,collection1263
960,collection0062,collection1640
961,collection0084,collection0464
962,collection0219,collection0475
963,collection0677,collection0905
964,collection0818,collection1378
965,collection0006,collection2012
966,collection0021,collection0058
967,collection0002,collection0446
968,collection0133,collection0861
969,collection0006,collection0054
970,collection0052,collection0259
971,collection0407,collection2304
972,collection0090,collection1626
973,collection0021,collection0940
974,collection0064,collection0605
975,collection0124,collection0791
976,collection0354,collection2012
977,collection0280,collection0703
978,collection0748,collection1158
979,collection0514,collection0756
980,collection0073,collection0651
981,collection0316,collection1374
982,collection0185,collection0278
983,collection0420,collection1441
984,collection0192,collection0285
985,collection0002,collection1092
986,collection0023,collection1043
987,collection0159,collection0502
988,collection0021,collection0034
989,collection1671,collection2040
990,collection0100,collection0238
991,collection1373,collection1641
992,collection0122,collection1989
993,collection0638,collection1399
994,collection0014,collection0103
995,collection0502,collection0547
996,collection0001,collection1033
997,collection0023,collection1146
998,collection0214,collection1412
999,collection1132,collection1768
1000,collection0024,collection0764
1001,collection0870,collection0970
1002,collection0315,collection1184
1003,collection0242,collection1130
1004,collection0061,collection0927
1005,collection0298,collection0578
1006,collection1121,collection1185
1007,collection0566,collection1025
1008,collection0190,collection0647
1009,collection0005,collection0100
1010,collection0176,collection0773
1011,collection0870,collection1092
1012,collection0006,collection0013
1013,collection0107,collection0521
1014,collection0007,collection0011
1015,collection0004,collection0287
1016,collection1630,collection1641
1017,collection0041,collection0245
1018,collection1013,collection2304
1019,collection1185,collection1780
1020,collection0298,collection1113
1021,collection0124,collection0280
1022,collection0014,collection0170
1023,collection0291,collection1378
1024,collection0181,collection0874
1025,collection0061,collection0254
1026,collection0079,collection0301
1027,collection0058,collection0647
1028,collection0127,collection0569
1029,collection0148,collection0459
1030,collection0502,collection0647
1031,collection0188,collection1061
1032,collection0360,collection0861
1033,collection0258,collection2135
1034,collection0020,collection0896
1035,collection0097,collection1412
1036,collection0874,collection1061
1037,collection1026,collection1630
1038,collection0127,collection0256
1039,collection0861,collection0877
1040,collection0019,collection1399
1041,collection0238,collection0677
1042,collection0301,collection1807
1043,collection0344,collection1438
1044,collection0021,collection0179
1045,collection0701,collection2023
1046,collection0022,collection0481
1047,collection1348,collection1537
1048,collection0084,collection0877
1049,collection0030,collection0670
1050,collection0046,collection0181
1051,collection0016,collection0104
1052,collection0395,collection0874
1053,collection0016,collection1641
1054,collection0151,collection0779
1055,collection0151,collection1036
1056,collection0021,collection0341
1057,collection0111,collection1167
1058,collection0234,collection0928
1059,collection0048,collection1678
1060,collection0013,collection0110
1061,collection0585,collection1121
1062,collection1989,collection2304
1063,collection0010,collection0245
1064,collection1786,collection2012
1065,collection0104,collection0749
1066,collection0166,collection1489
1067,collection0010,collection0095
1068,collection0005,collection1399
1069,collection0002,collection0764
1070,collection0244,collection0581
1071,collection0404,collection1618
1072,collection0325,collection0984
1073,collection0527,collection0653
1074,collection0001,collection0272
1075,collection0282,collection0525
1076,collection0001,collection0242
1077,collection0046,collection0159
1078,collection0268,collection0276
1079,collection0032,collection0895
1080,collection0500,collection0525
1081,collection0037,collection0858
1082,collection0294,collection2304
1083,collection0395,collection1167
1084,collection0011,collection1441
1085,collection0214,collection0566
1086,collection0110,collection0400
1087,collection0729,collection0779
1088,collection0019,collection0088
1089,collection0190,collection1362
1090,collection0402,collection0725
1091,collection0038,collection2304
1092,collection0399,collection0861
1093,collection0124,collection1487
1094,collection0192,collection1483
1095,collection1129,collection1990
1096,collection0129,collection0216
1097,collection0336,collection0760
1098,collection0088,collection0109
1099,collection0214,collection1025
1100,collection0214,collection0316
1101,collection0261,collection1036
1102,collection0282,collection1989
1103,collection0254,collection0301
1104,collection0855,collection2012
1105,collection1092,collection1618
1106,collection0375,collection0502
1107,collection0008,collection1383
1108,collection0002,collection1192
1109,collection0176,collection2304
1110,collection0190,collection1307
1111,collection0280,collection0531
1112,collection0166,collection1671
1113,collection0008,collection0479
1114,collection0189,collection1130
1115,collection0008,collection2135
1116,collection0432,collection0748
1117,collection0254,collection0727
1118,collection0039,collection0590
1119,collection0206,collection1362
1120,collection0214,collection1067
1121,collection0055,collection0677
1122,collection0364,collection0375
1123,collection0402,collection1378
1124,collection0032,collection0726
1125,collection0021,collection0272
1126,collection0424,collection0761
1127,collection0003,collection0487
1128,collection0078,collection0725
1129,collection0104,collection0364
1130,collection0052,collection0726
1131,collection0032,collection0311
1132,collection1026,collection1132
1133,collection0013,collection0181
1134,collection0013,collection0363
1135,collection0003,collection0713
1136,collection0008,collection0855
1137,collection0002,collection0542
1138,collection0005,collection0097
1139,collection0521,collection1500
1140,collection0605,collection1768
1141,collection0130,collection0660
1142,collection0562,collection1605
1143,collection0055,collection2135
1144,collection0238,collection0354
1145,collection0019,collection0061
1146,collection0424,collection0729
1147,collection0003,collection1146
1148,collection0428,collection0749
1149,collection0170,collection0858
