retweeted_url,RP(H),retweets_count
https://bnnbloomberg.ca/liberals-say-one-fourth-of-land-and-ocean-waters-to-be-protected-by-2025-1.1322374,-0.4,2
https://blogto.com/city/2019/10/people-are-voting-dark-toronto/,-0.4,2
https://ctvnews.ca/politics/does-kenney-have-a-point-when-it-comes-to-equalization-reform-1.4664419,-0.4,3
https://cbc.ca/news/politics/scheer-provincial-free-trade-challenges-1.5321887?cmp=rss,-0.4,2
https://globalnews.ca/news/6043621/undecided-voters-canada-election/,-0.4,2
https://globalnews.ca/news/5949206/canadian-election-climate-change,-0.4,2
https://cbc.ca/news/canada/montreal/andrew-scheer-conservative-quebec-struggling-1.5315440?__vfz=medium%3dsharebar,-0.4,2
https://cbc.ca/news/politics/jagmeet-singh-ndp-montreal-turban-sikh-1.5305840?cmp=rss,-0.4,4
https://globalnews.ca/news/6022076/trudeau-quebec-new-immigrants-test-values/,-0.4,3
https://huffingtonpost.ca/entry/jim-carr-cancer_ca_5db30ec7e4b0a8937403ffca?ncid=tweetlnkcahpmg00000002,-0.4,3
https://cbc.ca/news/canada/edmonton/tim-uppal-conservative-edmonton-1.5295988?cmp=rss,-0.4,4
https://election.ctvnews.ca/security-housing-pharmacare-this-is-what-each-party-is-promising-seniors-1.4618897,-0.4,4
https://cbc.ca/news/politics/ndp-singh-gang-violence-youth-1.5301973?cmp=rss,-0.4,4
https://theglobeandmail.com/politics/article-trudeau-unveils-56-billion-tax-break-for-middle-class-to-compete/,-0.4,2
https://cbc.ca/news/politics/tasker-five-key-moments-english-leaders-debate-1.5312831?cmp=rss,-0.4,3
https://cbc.ca/news/politics/grenier-election-results-1.5330105?cmp=rss,-0.4,3
https://cbc.ca/news/politics/grenier-election-scandals-1.5293286?cmp=rss,-0.4,2
https://cbc.ca/news/politics/scheer-leung-candidate-video-campaign-1.5310659?cmp=rss,-0.4,3
https://bnnbloomberg.ca/trudeau-meets-thunberg-in-montreal-as-climate-marches-dominate-federal-campaign-1.1322862,-0.4,3
https://washingtonpost.com/video-games/2019/10/14/once-he-was-refugee-now-hes-ceo-making-video-games-peace/,-0.4,2
https://hilltimes.com/2019/10/23/nearly-100-new-mps-offer-new-face-of-parliament-including-60-in-flipped-seats/220620,-0.4,2
https://cbc.ca/news/politics/major-campaign-promises-federal-election-1.5311181?cmp=rss,-0.4,3
https://thestar.com/politics/political-opinion/2019/10/22/election-has-done-little-to-ease-anxiety-in-canadas-business-community.html,-0.4,2
https://election.ctvnews.ca/trudeau-earns-enough-of-canadians-trust-for-re-election-1.4649117,-0.4,36
https://election.ctvnews.ca/greens-universal-pharmacare-proposal-costed-at-27b-next-year-1.4609492,-0.4,2
https://press-presse.liberal.ca/fact-check/fact-check-conservatives-and-ndp-opposed-the-liberal-plan-to-fight-poverty/,-0.39,61
https://cbc.ca/news/politics/scheer-british-columbia-carbon-tax-analysis-wherry-1.5304364,-0.39,22
https://huffingtonpost.ca/entry/st-johns-east-ndp-liberals-conservatives-greens_ca_5da25b40e4b06ddfc51af6b8?ncid=tweetlnkcahpmg00000002,-0.39,2
https://press-presse.liberal.ca/fact-check/fact-check-scheer-will-scrap-canadas-first-and-only-serious-climate-change-plan/,-0.39,56
https://cbc.ca/news/politics/ndp-evacuation-voting-manitoba-1.5328150?cmp=rss,-0.39,5
https://cbc.ca/news/politics/trudeau-greta-thunberg-climate-change-action-1.5299674?cmp=rss,-0.39,27
https://montrealgazette.com/news/national/election-2019/federal-election-2019-live-results-riding-map-montreal-quebec,-0.39,5
https://election.ctvnews.ca/trudeau-says-he-will-march-at-montreal-climate-rally-friday-1.4611731,-0.39,26
https://election.ctvnews.ca/bloc-election-strategy-struck-chord-with-appeal-to-quebec-pride-not-sovereignty-1.4645931,-0.39,3
https://cbc.ca/news/politics/canada-federal-election-lgbtq-1.5306119?cmp=rss,-0.39,6
https://thestar.com/politics/federal/2019/10/07/conservative-campaign-pulls-altered-image-of-liberals-policy-paper.html,-0.39,44
https://liberal.ca/in-their-own-words-in-leaders-debate-justin-trudeau-shows-hell-move-canada-forward/,-0.38,42
https://huffingtonpost.ca/entry/andrew-scheer-anti-gay-comments_ca_5d8a5211e4b066c9cda55e73?utm_hp_ref=ca-homepage&ncid=tweetlnkcahpmg00000002,-0.38,7
https://election.ctvnews.ca/i-hope-he-gets-impeached-jagmeet-singh-says-about-donald-trump-1.4613860,-0.38,9
https://cbc.ca/news/politics/scheer-modern-canadian-convention-1.5324463,-0.38,42
https://tvanouvelles.ca/2019/10/02/trudeau-talonne-scheer-sur-la-question-de-lavortement,-0.38,51
https://election.ctvnews.ca/liberals-say-they-would-commit-canada-to-net-zero-emissions-by-2050-1.4607525,-0.37,24
https://election.ctvnews.ca/trudeau-promises-liberals-would-plant-2-billion-trees-1.4613506,-0.37,36
https://globalnews.ca/news/6011333/scheer-plan-border-loophoole-doomed-to-failure-experts/,-0.37,71
https://cbc.ca/news/canada/toronto/ontario-cap-and-trade-ruling-1.5317611?cmp=rss,-0.37,21
https://huffingtonpost.ca/entry/andrew-scheer-carbon-tax-baloney-meter_ca_5d8b9e99e4b0c6d0cef54f94?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter,-0.37,39
https://election.ctvnews.ca/scheer-won-t-explain-u-s-travel-as-a-citizen-without-a-valid-u-s-passport-1.4640297,-0.37,310
https://thestar.com/politics/federal/2019/10/10/scheer-campaign-faces-leadership-speculation-as-election-day-nears.html,-0.37,64
https://cbc.ca/news/politics/trudeau-scheer-platform-1.5311219?cmp=rss,-0.37,35
https://theguardian.com/world/2019/oct/04/canada-far-right-anti-muslim-propaganda-targeting-trudeau?cmp=share_btn_tw,-0.36,15
https://cbc.ca/news/canada/voter-turnout-2019-1.5330207?cmp=rss,-0.36,9
https://cp24.com/news/liberal-party-wins-minority-in-federal-election-1.4647440,-0.36,7
https://thestar.com/politics/federal/2019/10/01/conservatives-decline-to-commit-to-any-environmental-groups-priorities-in-new-survey.html,-0.36,27
https://globalnews.ca/news/5966412/trudeau-platform-singh-b-c/?utm_medium=twitter&utm_source=%40globalnews,-0.36,6
https://election.ctvnews.ca/the-doug-ford-factor-looms-large-in-the-federal-election-1.4631090,-0.36,5
https://ledevoir.com/politique/canada/563151/jagmeet-singh-courtise-les-travailleurs-precaires,-0.36,4
https://tvanouvelles.ca/2019/10/02/justin-trudeau-se-sent-bien-a-quelques-minutes-du-face-a-face,-0.36,5
https://election.ctvnews.ca/politics-by-association-nanos-on-how-ontario-school-strike-could-impact-scheer-1.4624463,-0.36,3
https://thetyee.ca/tyeenews/2019/10/04/the-run-now-running-faster/?utm_source=twitter&utm_medium=social&utm_content=100419-2&utm_campaign=editorial-1019,-0.36,3
https://globalnews.ca/news/6058749/jagmeet-singh-result-canada-election/?utm_medium=twitter&utm_source=%40globalnews,-0.36,4
https://ici.radio-canada.ca/nouvelle/1343508/campagne-electorale-canada-elections,-0.36,4
https://huffingtonpost.ca/entry/scheer-defends-coalition-gst-claim_ca_5da9ebdce4b04c4d24ec0247?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter,-0.35,174
https://cbc.ca/news/politics/the-conservatives-misleading-claims-about-a-secret-liberal-housing-tax-1.5312873?cmp=rss,-0.35,94
https://cbc.ca/news/politics/justin-trudeau-andrew-scheer-ford-wynne-1.5293934,-0.35,4
https://theglobeandmail.com/opinion/article-for-justin-trudeau-the-real-challenge-starts-now/,-0.35,3
https://election.ctvnews.ca/singh-says-he-would-encourage-provinces-on-health-care-services-1.4642800,-0.35,6
https://liberal.ca/andrew-scheers-been-caught-faking-his-resume/,-0.35,102
https://globalnews.ca/news/5340637/ndp-jagmeet-singh-climate-change-plan/?utm_source=%40globalnews&utm_medium=twitter,-0.35,3
https://nationalpost.com/pmn/news-pmn/canada-news-pmn/new-brunswick-premier-reassessing-position-on-carbon-tax-after-election-results,-0.35,3
https://cbc.ca/news/politics/immigration-disinformation-election-2019-poll-1.5316934?cmp=rss,-0.35,3
https://election.ctvnews.ca/how-to-vote-searches-spike-in-canada-1.4648782,-0.35,6
https://cbc.ca/news/politics/trudeau-promises-to-cut-cellphone-bills-by-25-per-cent-if-re-elected-1.5293256?cmp=rss,-0.35,83
https://thestar.com/politics/federal/2019/10/11/conservative-plan-would-cut-354b-to-balance-books.html,-0.35,68
https://thestar.com/politics/federal/2019/10/19/scheer-refuses-to-deny-conservatives-hired-operative-to-dig-up-dirt-on-opponent.html,-0.35,11
https://ricochet.media/en/2794/good-riddance-maxime-bernier,-0.34,3
https://tvo.org/article/affording-ontario-the-uncertain-future-of-indigenous-housing-co-ops,-0.34,3
https://theglobeandmail.com/politics/article-election-ad-contracts-capp-conservatives/,-0.34,77
https://montrealgazette.com/news/national/election-2019/live-coverage-canada-holds-its-breath-awaiting-results-of-tight-election,-0.34,4
https://journaldequebec.com/2019/10/16/trudeau-a-montreal-pour-vendre-la-marque-liberale-1,-0.34,8
